COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0217,4/6/2020,N,149,98,93,141,252,597,1662,2158,2063,1767,1738,1808,1899,1955,2168,2650,3244,3189,1773,1171,762,519,416,370,32642,17,3244,,
93,0217,4/6/2020,S,168,120,157,244,463,1216,2671,3586,2893,2022,1822,1758,1637,1745,1861,2070,2192,1943,1319,944,729,466,365,270,32661,08,3586,,
53,0218,4/6/2020,E,92,74,59,103,98,179,261,310,367,319,375,406,335,376,404,376,339,317,253,214,150,148,144,97,5796,12,406,,
53,0218,4/6/2020,W,39,47,48,52,85,202,289,297,295,314,314,346,347,382,387,427,392,378,265,223,184,162,109,123,5707,16,427,,
57,0219,4/6/2020,N,22,6,7,18,38,90,165,258,268,237,232,270,288,339,442,591,575,416,234,150,92,83,82,52,4955,16,591,,
57,0219,4/6/2020,S,19,6,8,41,68,440,706,533,405,309,277,279,273,276,277,248,262,252,134,90,56,63,54,21,5097,07,706,,
97,0223,4/6/2020,N,12,9,10,11,13,64,152,141,116,79,74,79,86,97,104,160,232,189,117,62,40,21,27,29,1924,17,232,,
97,0223,4/6/2020,S,7,5,14,22,73,175,227,178,104,89,93,97,74,96,83,145,107,131,64,40,26,22,23,13,1908,07,227,,
17,0225,4/6/2020,N,121,125,126,203,423,1108,2288,2886,2556,2045,2044,2024,1868,2008,2068,2429,2369,2242,1460,919,633,443,356,249,32993,08,2886,,
17,0225,4/6/2020,S,153,128,131,204,332,839,2141,2903,2494,2051,1956,1906,1875,1866,2073,2411,2605,2398,1372,935,639,437,314,251,32414,08,2903,,
90,0227,4/6/2020,N,9,6,8,11,16,59,114,239,296,295,327,352,336,337,322,380,369,327,193,115,98,41,25,22,4297,16,380,,
90,0227,4/6/2020,S,10,11,7,15,40,96,198,326,325,315,325,307,379,322,313,326,318,231,200,114,76,51,27,29,4361,13,379,,
01,0228,4/6/2020,E,21,23,15,39,58,185,402,647,600,630,684,718,781,803,873,943,970,744,443,301,184,85,76,50,10275,17,970,,
01,0228,4/6/2020,W,28,9,14,20,58,203,581,912,769,682,729,704,735,757,750,748,804,664,456,293,182,88,64,45,10295,08,912,,
09,0229,4/6/2020,E,11,5,9,22,35,93,179,259,184,146,150,173,157,163,155,136,148,137,104,73,37,28,22,14,2440,08,259,,
09,0229,4/6/2020,W,6,4,5,9,24,71,101,157,118,134,150,171,203,175,187,174,250,229,118,89,57,38,17,23,2510,17,250,,
16,0230,4/6/2020,N,15,12,15,31,53,125,183,196,209,170,167,205,210,177,220,231,248,248,158,127,74,52,33,35,3194,17,248,,
16,0230,4/6/2020,S,20,20,14,27,50,156,208,193,216,181,181,197,171,188,192,219,191,233,161,117,78,44,27,25,3109,18,233,,
26,0231,4/6/2020,N,2,6,12,20,20,40,91,108,107,114,74,93,113,123,112,138,140,129,96,62,43,17,7,10,1677,17,140,,
26,0231,4/6/2020,S,2,1,0,10,15,31,75,127,86,99,87,100,113,108,117,133,164,130,90,46,32,16,16,7,1605,17,164,,
27,0232,4/6/2020,N,8,5,5,9,9,25,31,34,28,42,46,66,70,86,98,99,144,136,105,83,40,25,22,18,1234,17,144,,
27,0232,4/6/2020,S,6,3,4,11,26,71,99,108,65,69,68,66,69,70,63,70,70,68,63,44,35,16,8,13,1185,08,108,,
71,0233,4/6/2020,N,21,20,24,38,144,341,464,531,435,394,399,396,417,440,408,388,444,473,322,223,131,106,62,36,6657,08,531,,
71,0233,4/6/2020,S,32,26,27,27,70,146,217,268,274,271,349,406,446,460,506,584,662,711,452,327,217,116,77,35,6706,18,711,,
30,0234,4/6/2020,N,7,5,3,4,7,31,42,57,43,64,72,79,58,85,70,89,73,108,68,65,25,13,7,10,1085,18,108,,
30,0234,4/6/2020,S,4,8,2,3,8,24,35,68,64,62,72,73,70,73,74,85,75,90,61,41,34,20,14,5,1065,18,90,,
72,0235,4/6/2020,N,14,11,11,16,28,70,116,108,86,103,105,105,111,115,117,104,108,99,66,52,34,25,24,16,1644,15,117,,
72,0235,4/6/2020,S,7,7,9,23,20,64,92,91,71,75,75,81,89,89,73,90,114,95,90,40,28,24,20,13,1380,17,114,,
33,0237,4/6/2020,N,0,0,0,1,3,6,14,11,7,18,18,13,19,14,21,27,33,21,23,20,7,6,0,2,284,17,33,,
33,0237,4/6/2020,S,0,1,0,2,7,10,23,25,13,18,14,12,16,20,17,19,22,14,17,9,2,2,0,0,263,08,25,,
37,0238,4/6/2020,E,109,99,85,125,150,214,251,314,318,323,359,397,420,413,507,403,422,380,335,319,235,193,156,97,6624,15,507,,
37,0238,4/6/2020,W,86,57,61,71,107,176,234,333,334,345,395,366,451,465,487,474,511,417,375,352,242,214,169,78,6800,17,511,,
34,0239,4/6/2020,E,0,0,1,1,2,11,17,19,16,17,26,16,31,22,35,29,27,18,9,9,6,5,0,0,317,15,35,,
34,0239,4/6/2020,W,0,1,0,0,0,1,16,16,16,31,19,21,21,20,17,31,24,26,11,16,6,3,1,0,297,10,31,,
76,0240,4/6/2020,E,18,14,15,36,97,249,344,396,315,299,305,342,323,354,318,279,299,256,187,140,105,69,39,16,4815,08,396,,
76,0240,4/6/2020,W,20,12,6,11,15,51,138,172,203,205,268,299,336,339,318,428,492,541,318,204,168,117,68,40,4769,18,541,,
37,0241,4/6/2020,N,3,1,1,2,11,27,61,135,87,93,73,79,83,97,101,87,112,102,64,52,33,22,8,9,1343,08,135,,
37,0241,4/6/2020,S,6,5,2,0,18,23,54,87,88,96,94,81,68,85,78,98,123,121,82,47,33,25,12,4,1330,17,123,,
37,0242,4/6/2020,N,5,8,5,9,16,30,62,92,78,82,91,111,88,84,96,94,92,97,75,41,14,15,16,7,1308,12,111,,
37,0242,4/6/2020,S,4,2,2,6,8,14,38,85,76,69,76,91,102,85,109,103,110,112,66,61,32,22,9,6,1288,18,112,,
48,0243,4/6/2020,N,4,3,3,9,19,39,82,104,107,116,137,120,133,113,127,123,151,127,88,63,43,17,15,5,1748,17,151,,
48,0243,4/6/2020,S,5,1,5,4,31,71,66,73,78,110,119,133,142,159,105,157,172,119,88,64,39,22,14,9,1786,17,172,,
54,0245,4/6/2020,N,2,1,3,1,0,11,16,44,40,33,26,35,31,34,42,41,54,62,38,31,15,10,4,2,576,18,62,,
54,0245,4/6/2020,S,0,0,1,2,4,5,45,44,49,39,35,30,48,36,46,29,41,36,33,24,8,9,3,3,570,09,49,,
11,0246,4/6/2020,E,10,6,11,23,68,214,352,390,324,264,277,310,311,296,322,331,374,359,237,159,128,59,41,26,4892,08,390,,
11,0246,4/6/2020,W,22,10,11,20,28,65,135,263,314,284,260,292,341,298,292,370,465,399,327,177,121,65,42,33,4634,17,465,,
53,0247,4/6/2020,N,1,1,5,1,8,27,49,81,60,46,58,68,73,74,74,106,87,85,36,36,13,5,7,10,1011,16,106,,
53,0247,4/6/2020,S,2,2,6,1,12,36,70,70,60,57,52,53,65,60,72,59,82,74,44,26,20,15,12,2,952,17,82,,
53,0248,4/6/2020,E,6,4,4,5,9,22,30,36,32,46,55,38,57,49,56,62,53,51,32,29,17,6,9,13,721,16,62,,
53,0248,4/6/2020,W,5,2,5,9,14,34,74,48,54,45,58,50,51,61,42,48,53,43,39,22,13,9,10,11,800,07,74,,
36,0249,4/6/2020,E,64,44,24,39,128,198,409,498,502,581,571,660,707,768,740,983,1133,1086,701,493,354,266,178,162,11289,17,1133,,
36,0249,4/6/2020,W,51,19,44,79,180,408,739,999,795,707,724,770,682,742,694,764,795,781,533,349,306,199,163,94,11617,08,999,,
57,0250,4/6/2020,N,34,22,34,48,99,352,705,622,573,591,584,624,716,576,768,853,888,822,488,323,180,104,117,94,10217,17,888,,
57,0250,4/6/2020,S,43,17,29,40,118,391,757,942,731,680,618,680,684,530,722,833,812,612,477,278,172,133,120,79,10498,08,942,,
58,0251,4/6/2020,E,5,5,6,8,21,44,40,39,50,55,55,59,64,57,77,78,89,79,68,53,24,15,4,9,1004,17,89,,
58,0251,4/6/2020,W,2,1,3,8,10,45,78,50,44,53,57,54,59,73,69,82,76,83,34,33,14,17,11,5,961,18,83,,
59,0252,4/6/2020,N,1,2,2,2,5,19,46,41,43,38,38,29,35,34,41,39,34,50,31,15,8,2,12,1,568,18,50,,
59,0252,4/6/2020,S,0,2,0,2,6,7,35,37,26,31,27,31,26,34,28,36,42,45,39,20,18,13,5,0,510,18,45,,
86,0255,4/6/2020,E,63,41,29,66,97,224,617,981,898,825,830,842,835,863,979,888,963,1011,800,488,342,274,215,138,13309,18,1011,,
86,0255,4/6/2020,W,80,39,39,71,104,222,513,815,859,774,782,792,846,885,915,959,1050,1043,695,515,391,274,195,153,13011,17,1050,,
86,0256,4/6/2020,E,25,19,18,19,45,145,361,580,551,501,546,531,642,633,623,662,670,648,476,361,267,147,103,66,8639,17,670,,
86,0256,4/6/2020,W,29,27,10,18,26,80,277,432,482,464,456,571,556,563,617,660,774,705,427,320,191,143,84,61,7973,17,774,,
87,0258,4/6/2020,N,80,47,27,37,67,144,281,330,351,392,491,569,601,620,600,595,699,732,652,502,419,299,212,170,8917,18,732,,
87,0258,4/6/2020,S,84,52,35,30,47,112,209,332,344,417,563,587,575,674,641,622,743,674,676,556,460,288,241,189,9151,17,743,,
89,0259,4/6/2020,N,8,0,1,2,11,48,46,91,122,116,176,162,152,130,180,199,211,150,96,64,41,28,16,11,2061,17,211,,
89,0259,4/6/2020,S,1,4,2,0,13,46,92,152,191,157,169,160,143,159,180,207,147,111,74,51,25,17,22,10,2133,16,207,,
94,0260,4/6/2020,N,102,126,80,168,287,657,1196,1462,1238,1089,994,1028,1116,1129,1134,1188,1274,1219,848,554,489,377,291,240,18286,08,1462,,
94,0260,4/6/2020,S,150,107,122,179,325,604,1147,1222,1159,1010,925,950,1001,1013,1140,1130,1343,1353,863,623,0,346,292,208,17212,18,1353,,
11,0262,4/6/2020,N,4,7,7,8,21,69,120,148,159,181,187,227,234,237,234,242,277,266,194,107,96,44,29,31,3129,17,277,,
11,0262,4/6/2020,S,8,5,5,12,34,75,171,243,226,193,214,223,247,235,217,279,197,195,131,96,67,41,23,24,3161,16,279,,
73,0263,4/6/2020,N,16,7,5,14,20,77,162,208,227,186,201,251,273,276,304,423,507,493,233,167,122,82,56,51,4361,17,507,,
73,0263,4/6/2020,S,10,9,15,39,72,179,373,497,380,249,255,241,240,231,312,275,262,259,188,103,72,71,41,25,4398,08,497,,
36,0264,4/6/2020,E,31,27,23,18,46,80,131,247,306,422,495,562,647,635,614,724,745,854,470,368,255,124,94,71,7989,18,854,,
36,0264,4/6/2020,W,23,14,21,38,96,194,436,578,514,525,537,560,517,541,483,490,508,447,308,230,177,93,76,41,7447,08,578,,
92,0265,4/6/2020,E,67,61,39,52,103,247,517,783,759,814,963,1052,1249,1248,1263,1383,1395,1308,977,774,590,401,302,187,16534,17,1395,,
92,0265,4/6/2020,W,54,50,46,93,170,427,811,844,813,820,1002,1056,1248,1293,1285,1302,1382,1349,1024,767,552,410,295,124,17217,17,1382,,
97,0267,4/6/2020,N,87,85,122,204,485,1710,2886,2727,2305,1833,1608,1595,1509,1672,1760,1845,1787,1596,1117,799,592,411,298,209,29242,07,2886,,
97,0267,4/6/2020,S,99,64,69,97,188,495,1198,1559,1560,1493,1412,1398,1649,1677,1973,2637,2899,2618,1632,982,655,502,332,215,27403,17,2899,,
29,0269,4/6/2020,E,86,101,74,131,169,219,229,294,284,285,317,312,346,356,379,371,377,337,305,269,226,186,155,107,5915,15,379,,
29,0269,4/6/2020,W,68,61,88,84,126,188,229,311,292,316,368,386,422,402,346,407,396,317,325,264,195,193,136,136,6056,13,422,,
03,0270,4/6/2020,E,3,1,1,2,16,16,30,26,25,26,34,44,36,43,31,36,39,34,25,19,9,4,1,2,503,12,44,,
03,0270,4/6/2020,W,0,0,1,5,5,16,16,21,26,38,34,32,22,32,25,39,45,34,24,15,11,4,5,3,453,17,45,,
04,0271,4/6/2020,E,7,4,5,11,19,69,104,169,147,121,117,142,169,158,188,182,192,175,143,107,65,41,38,31,2404,17,192,,
04,0271,4/6/2020,W,10,4,6,2,17,118,219,137,138,116,118,158,156,164,163,155,183,190,112,86,64,44,51,21,2432,07,219,,
05,0272,4/6/2020,E,6,3,3,9,23,72,120,137,102,89,109,102,110,118,108,105,96,123,58,45,29,30,10,12,1619,08,137,,
05,0272,4/6/2020,W,6,2,6,10,18,57,105,110,121,94,99,108,114,112,103,102,131,135,98,41,33,21,9,7,1642,18,135,,
12,0273,4/6/2020,N,10,7,11,23,61,141,285,301,277,272,211,245,240,205,192,221,226,221,126,97,71,33,21,16,3513,08,301,,
12,0273,4/6/2020,S,5,6,17,20,31,97,217,253,236,251,247,240,237,255,295,310,279,259,170,110,70,44,13,23,3685,16,310,,
16,0274,4/6/2020,N,30,9,19,33,51,127,275,415,428,454,543,636,733,714,694,877,899,962,678,431,281,147,92,56,9584,18,962,,
16,0274,4/6/2020,S,28,20,37,31,146,356,612,645,504,487,566,620,731,648,659,702,705,678,493,372,246,147,84,40,9557,13,731,,
16,0275,4/6/2020,E,37,33,64,71,83,189,247,257,291,259,287,329,353,349,372,430,465,398,272,213,152,107,108,72,5438,17,465,,
16,0275,4/6/2020,W,32,32,39,106,114,158,239,358,326,319,331,269,349,394,361,387,386,346,264,177,159,106,69,62,5383,14,394,,
10,0276,4/6/2020,E,16,10,12,12,32,84,216,177,159,161,159,202,202,193,188,232,247,298,209,131,107,45,18,21,3131,18,298,,
10,0276,4/6/2020,W,13,4,12,13,23,120,238,258,262,170,180,179,177,181,217,250,235,254,201,121,71,36,19,19,3253,09,262,,
32,0277,4/6/2020,E,3,3,6,2,11,12,24,36,32,34,39,41,35,39,40,53,56,45,43,23,23,24,11,5,640,17,56,,
32,0277,4/6/2020,W,5,2,3,2,4,13,21,47,32,31,39,41,44,43,41,39,56,48,29,25,19,16,13,5,618,17,56,,
34,0278,4/6/2020,N,11,39,17,21,26,54,89,207,742,237,304,199,206,465,346,296,265,280,179,113,67,44,28,57,4292,09,742,,
34,0278,4/6/2020,S,9,11,13,21,36,97,211,213,205,166,171,175,168,207,216,183,181,208,130,98,75,54,35,12,2895,15,216,,
35,0279,4/6/2020,E,4,6,11,11,11,27,70,99,150,216,243,279,295,257,268,304,269,278,165,135,71,42,31,27,3269,16,304,,
35,0279,4/6/2020,W,11,0,6,6,10,34,81,144,164,182,183,206,246,197,213,188,194,200,129,98,63,41,15,21,2632,13,246,,
38,0280,4/6/2020,E,4,4,2,11,22,29,47,59,55,70,48,59,66,65,45,49,44,36,21,13,9,4,2,1,765,10,70,,
38,0280,4/6/2020,W,5,4,2,3,14,49,60,28,51,50,56,57,64,60,76,54,42,41,25,11,16,11,2,3,784,15,76,,
50,0281,4/6/2020,N,1,1,3,1,6,7,25,44,36,25,32,33,39,42,42,49,51,71,45,34,22,19,11,7,646,18,71,,
50,0281,4/6/2020,S,0,3,2,1,8,21,54,61,27,19,29,36,33,34,31,36,35,55,45,45,26,10,6,4,621,08,61,,
48,0282,4/6/2020,E,13,20,12,23,46,139,419,670,519,537,548,603,641,581,603,509,544,498,406,247,86,45,29,15,7753,08,670,,
48,0282,4/6/2020,W,17,16,10,10,23,70,167,392,323,441,459,567,659,595,578,629,689,545,405,339,176,115,105,69,7399,17,689,,
08,0283,4/6/2020,N,42,18,13,27,52,124,234,392,457,425,473,564,572,634,602,675,727,727,430,317,262,133,96,65,8061,17,727,,
08,0283,4/6/2020,S,26,17,21,38,55,179,332,513,542,493,510,586,591,592,557,567,585,543,370,249,225,135,63,40,7829,14,592,,
70,0284,4/6/2020,N,1,0,4,6,11,36,84,168,191,211,245,242,273,238,256,230,201,162,104,79,33,14,14,6,2809,13,273,,
70,0284,4/6/2020,S,5,4,3,1,6,14,38,102,172,172,206,243,228,263,233,251,233,231,182,94,46,28,16,9,2780,14,263,,
58,0285,4/6/2020,N,4,0,6,2,10,20,28,38,43,40,38,49,49,47,49,52,62,55,37,25,16,10,5,1,686,17,62,,
58,0285,4/6/2020,S,2,4,1,6,11,35,46,59,43,46,53,36,54,53,45,55,51,37,35,21,17,14,9,7,740,08,59,,
29,0286,4/6/2020,N,19,12,12,22,53,50,103,136,152,172,192,226,214,221,276,288,330,300,226,170,121,85,56,37,3473,17,330,,
29,0286,4/6/2020,S,27,19,24,27,29,79,168,263,210,203,234,288,241,247,249,289,248,255,197,146,121,83,66,40,3753,16,289,,
89,0289,4/6/2020,E,1,0,0,3,6,29,93,135,70,60,102,103,72,61,61,60,74,82,56,41,21,15,11,7,1163,08,135,,
89,0289,4/6/2020,W,1,0,5,6,19,46,103,57,63,52,76,73,59,81,83,88,92,88,48,29,25,16,7,10,1127,07,103,,
08,0294,4/6/2020,N,11,11,10,6,16,41,99,168,199,229,238,270,300,283,304,351,379,366,249,190,127,72,38,24,3981,17,379,,
08,0294,4/6/2020,S,8,5,16,26,47,100,162,191,176,177,180,209,231,220,209,197,186,170,111,116,69,53,31,8,2898,13,231,,
15,0295,4/6/2020,N,95,48,61,51,97,263,520,749,757,824,785,916,1085,971,1149,1154,1216,1069,744,616,485,320,232,179,14386,17,1216,,
15,0295,4/6/2020,S,103,61,42,59,91,226,489,818,848,880,909,1024,991,977,1103,1070,1205,1050,791,642,490,363,230,208,14670,17,1205,,
59,0296,4/6/2020,N,7,9,14,25,49,161,477,529,401,361,389,425,426,422,400,445,420,471,292,219,175,90,63,26,6296,08,529,,
59,0296,4/6/2020,S,16,13,5,13,33,45,162,280,305,308,352,405,432,421,454,529,615,674,409,252,143,107,59,27,6059,18,674,,
29,0297,4/6/2020,N,0,5,1,9,11,25,56,74,42,63,68,63,59,61,80,58,85,73,65,32,28,20,7,6,991,17,85,,
29,0297,4/6/2020,S,2,1,1,9,6,11,34,60,36,48,54,67,70,64,58,73,82,88,66,35,33,13,11,5,927,18,88,,
86,0298,4/6/2020,N,82,56,55,87,107,337,926,1167,1074,926,932,1076,1139,1110,1128,1144,1141,1151,888,676,516,354,317,168,16557,08,1167,,
86,0298,4/6/2020,S,101,51,44,57,69,167,440,703,835,812,947,1045,1103,1168,1197,1292,1462,1426,1004,845,676,406,318,279,16447,17,1462,,
77,0299,4/6/2020,E,14,8,11,23,18,106,229,336,281,252,248,244,242,254,308,386,452,454,252,162,95,51,38,15,4479,18,454,,
77,0299,4/6/2020,W,9,4,17,14,45,159,264,317,238,177,176,249,255,278,319,365,363,346,235,157,87,57,49,24,4204,16,365,,
55,0300,4/6/2020,N,10,6,4,15,16,110,347,389,278,187,212,189,226,225,215,245,303,254,263,145,97,48,40,13,3837,08,389,,
55,0300,4/6/2020,S,10,8,10,9,31,147,141,201,186,146,199,215,263,254,250,288,386,524,270,177,106,64,43,25,3953,18,524,,
56,0301,4/6/2020,E,5,7,2,4,5,37,59,67,37,63,47,69,67,57,81,68,81,96,93,58,28,19,15,8,1073,18,96,,
56,0301,4/6/2020,W,9,3,5,6,8,29,89,95,73,91,45,60,69,77,60,57,70,84,79,36,20,15,17,9,1106,08,95,,
15,0302,4/6/2020,E,37,29,38,42,108,309,614,728,604,480,508,507,563,591,593,669,620,625,411,347,270,160,126,91,9070,08,728,,
15,0302,4/6/2020,W,60,30,30,20,66,138,365,556,481,502,475,515,588,603,608,747,806,716,535,417,264,191,159,118,8990,17,806,,
55,0304,4/6/2020,E,147,114,121,153,191,394,848,1680,1580,1262,1225,1219,1282,1362,1241,1283,1412,1662,1118,678,482,374,273,230,20331,08,1680,,
55,0304,4/6/2020,W,123,100,74,99,134,330,804,1272,1178,1038,1073,1220,1316,1360,1409,1592,1758,1787,1139,901,680,494,353,289,20523,18,1787,,
46,0305,4/6/2020,E,77,39,46,63,137,462,1114,1634,1316,1185,1248,1247,1359,1350,1370,1577,1643,1343,870,571,436,331,223,156,19797,17,1643,,
46,0305,4/6/2020,W,68,40,47,84,143,493,1295,1588,1273,1179,1195,1235,1307,1228,1306,1475,1602,1609,969,694,419,279,201,151,19880,18,1609,,
86,0306,4/6/2020,E,9,10,3,7,5,9,62,107,131,139,146,152,163,185,176,190,156,163,146,135,77,57,38,24,2290,16,190,,
86,0306,4/6/2020,W,7,11,2,6,5,9,41,89,105,134,132,154,180,198,166,185,208,161,153,119,92,52,30,35,2274,17,208,,
46,0308,4/6/2020,N,34,13,20,28,52,116,282,442,514,653,770,839,908,840,785,926,977,887,513,345,179,121,79,57,10380,17,977,,
46,0308,4/6/2020,S,39,15,22,29,79,203,583,881,763,767,746,826,895,789,760,701,727,635,433,305,175,116,95,38,10622,13,895,,
16,0310,4/6/2020,N,102,96,181,217,469,1198,1366,1235,1022,1022,1018,1102,1200,1235,1248,1170,1364,1186,913,697,507,304,278,174,19304,07,1366,,
16,0310,4/6/2020,S,148,116,69,115,222,322,643,1001,1082,983,984,1021,1173,1203,1258,1458,1477,1595,1085,706,439,319,312,211,17942,18,1595,,
78,0311,4/6/2020,N,18,11,11,30,100,252,537,989,915,790,830,902,1005,987,866,851,796,734,566,394,267,125,79,64,12119,13,1005,,
78,0311,4/6/2020,S,27,23,19,12,30,71,173,437,605,750,783,916,1043,1038,1022,1064,1260,1125,680,536,333,184,110,80,12321,17,1260,,
54,0312,4/6/2020,N,8,8,5,5,14,55,95,130,109,127,121,101,107,91,101,91,121,121,77,56,32,25,29,12,1641,08,130,,
54,0312,4/6/2020,S,8,3,2,7,18,27,66,92,97,83,99,97,92,88,105,107,135,128,87,54,33,31,20,12,1491,17,135,,
51,0313,4/6/2020,N,2,2,6,5,5,10,21,36,47,55,79,79,72,100,102,121,131,163,84,45,40,18,12,7,1242,18,163,,
51,0313,4/6/2020,S,6,4,2,2,6,11,82,174,129,91,94,76,81,67,79,80,73,55,42,42,32,15,8,6,1257,08,174,,
88,0314,4/6/2020,N,25,17,12,18,51,110,230,518,490,479,494,531,599,682,646,522,505,442,333,244,195,109,89,64,7405,14,682,,
88,0314,4/6/2020,S,28,16,13,18,33,74,155,343,381,409,485,557,585,696,718,622,654,575,339,267,168,125,90,75,7426,15,718,,
46,0315,4/6/2020,N,5,8,9,6,7,23,42,96,125,172,196,227,227,209,194,174,181,158,95,77,40,36,16,8,2331,12,227,,
46,0315,4/6/2020,S,6,5,7,9,11,20,72,149,169,167,171,211,213,190,160,152,158,129,76,57,29,17,16,10,2204,13,213,,
51,0316,4/6/2020,E,2,2,1,1,2,6,25,47,57,45,59,45,50,45,69,57,53,55,36,17,15,9,11,5,714,15,69,,
51,0316,4/6/2020,W,0,2,1,3,3,5,17,66,54,48,37,55,48,60,48,21,34,7,25,20,11,12,9,5,591,08,66,,
36,0317,4/6/2020,N,228,181,182,246,460,823,1539,1897,1635,1625,1732,1793,1772,1633,1695,1537,1562,1510,1206,869,750,351,122,253,25601,08,1897,,
36,0317,4/6/2020,S,316,304,298,334,485,885,1166,1270,1153,1112,1106,1205,1245,1274,1480,1610,1708,1761,1241,899,770,648,546,436,23252,18,1761,,
57,0318,4/6/2020,E,72,53,61,78,193,384,524,576,582,535,420,386,428,388,375,382,397,425,344,226,164,154,98,82,7327,09,582,,
57,0318,4/6/2020,W,55,43,43,62,94,182,332,316,373,401,439,374,406,435,546,618,622,511,376,262,176,130,117,96,7009,17,622,,
16,0319,4/6/2020,N,26,27,14,26,115,278,287,269,237,223,218,239,284,226,248,265,315,334,219,141,106,83,51,36,4267,18,334,,
16,0319,4/6/2020,S,23,29,29,37,90,207,315,282,258,198,209,226,214,232,231,248,278,342,244,145,103,71,49,51,4111,18,342,,
29,0320,4/6/2020,N,137,106,97,115,152,265,343,454,570,662,748,805,921,924,903,946,788,758,679,542,414,368,267,113,12077,16,946,,
29,0320,4/6/2020,S,217,199,177,220,246,302,356,428,465,510,499,538,597,630,652,689,685,689,548,489,465,372,319,223,10515,16,689,,
10,0321,4/6/2020,E,94,57,63,60,112,325,725,962,770,662,767,870,1057,919,994,1066,1050,1050,831,763,594,456,284,162,14693,16,1066,,
10,0321,4/6/2020,W,102,80,39,44,78,207,506,694,684,666,771,913,1078,1043,1085,1225,1284,1237,962,787,561,425,277,182,14930,17,1284,,
70,0322,4/6/2020,N,54,49,60,50,97,218,387,417,458,438,513,516,542,562,523,627,684,600,475,350,274,204,151,138,8387,17,684,,
70,0322,4/6/2020,S,89,68,98,90,146,374,591,481,402,431,415,425,415,429,430,491,506,514,392,299,264,201,146,135,7832,07,591,,
26,0323,4/6/2020,N,65,50,48,25,36,88,264,434,432,423,538,569,637,579,580,659,698,694,522,481,420,241,174,151,8808,17,698,,
26,0323,4/6/2020,S,75,52,39,30,28,70,150,318,327,374,430,519,618,621,634,735,734,753,547,485,458,254,152,133,8536,18,753,,
02,0324,4/6/2020,E,23,30,20,35,72,149,356,503,461,495,470,490,519,533,569,592,563,520,299,190,159,98,75,49,7270,16,592,,
02,0324,4/6/2020,W,30,24,13,16,31,104,290,520,505,467,475,491,575,546,569,571,574,506,286,197,149,85,74,51,7149,13,575,,
48,0325,4/6/2020,E,8,8,13,12,42,123,277,308,282,320,352,344,360,378,332,347,339,293,209,135,77,47,38,28,4672,14,378,,
48,0325,4/6/2020,W,15,9,9,12,41,52,143,209,233,279,304,315,332,349,399,408,399,397,254,143,94,48,40,26,4510,16,408,,
09,0327,4/6/2020,N,21,19,11,42,87,145,138,144,136,154,188,197,198,200,212,177,244,272,149,137,94,64,50,46,3125,18,272,,
09,0327,4/6/2020,S,13,32,30,41,102,182,258,239,175,178,182,212,186,184,212,188,175,161,148,75,79,48,50,28,3178,07,258,,
47,0328,4/6/2020,N,1,0,5,7,16,30,50,52,50,64,58,72,62,86,72,107,116,99,56,37,11,10,10,1,1072,17,116,,
47,0328,4/6/2020,S,4,4,7,9,31,85,112,99,51,73,73,66,59,65,58,63,65,53,39,24,16,15,11,6,1088,07,112,,
78,0329,4/6/2020,N,11,5,3,8,30,57,208,386,493,517,611,642,671,597,650,612,563,518,331,228,189,93,53,37,7513,13,671,,
78,0329,4/6/2020,S,18,14,10,12,20,27,79,267,423,473,563,662,713,629,628,675,718,598,389,271,206,83,62,31,7571,17,718,,
58,0330,4/6/2020,E,1,3,4,14,27,41,46,39,24,37,25,39,37,37,36,34,27,30,24,13,15,5,9,5,572,07,46,,
58,0330,4/6/2020,W,4,3,0,3,5,16,18,34,33,37,34,39,44,27,29,40,43,51,30,22,18,8,4,2,544,18,51,,
86,0331,4/6/2020,N,541,303,296,422,712,1508,2885,4787,4456,3838,3796,4042,4245,4338,4537,5100,5448,4880,3727,2817,2218,1622,1406,937,68861,17,5448,,
86,0331,4/6/2020,S,549,362,321,391,557,1778,3800,4307,4289,3549,3745,3919,3908,4275,4586,5533,5541,5333,3967,2871,2411,1791,1623,1211,70617,17,5541,,
89,0332,4/6/2020,N,44,38,25,25,58,141,420,829,864,911,1019,1090,1118,1169,1321,1615,1835,1693,914,603,428,271,202,191,16824,17,1835,,
